Mineral Name (plain),IMA Chemistry,Crystal Systems,Paragenetic Modes
Alacranite,As8S9,monoclinic,"Abiotic, Biotic, Primary; Stage 3a: Earth's earliest Hadean crust, PM11 - Volcanic fumarole minerals, Stage 3b: Earth's earliest hydrosphere, PM12 - Hadean hydrothermal subsurface sulfide deposits, Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM50 - Coal and/or oil shale minerals, Stage 10b: Anthropogenic minerals, PM54 - Coal and other mine fire minerals"
Alamosite,PbSiO3,monoclinic,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
Alarsite,Al(AsO4),hexagonal,"Biotic; Stage 7: Great Oxidation Event, PM45 - Oxidized fumarolic minerals"
Albertiniite,Fe2+(SO3)·3H2O,monoclinic,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
Albite,Na(AlSi3O8),"monoclinic, triclinic","Abiotic, Biotic, Primary, Secondary; Stage 1: Primary nebular phases, PM4 - Primary chondrule phases, Stage 2: Planetesimal differentiation & alteration, PM5 - Primary asteroid phases, Stage 3a: Earth's earliest Hadean crust, PM7 - Ultramafic igneous rocks, PM9 - Lava/xenolith minerals, PM10 - Basalt-hosted zeolite minerals, Stage 3b: Earth's earliest hydrosphere, PM16 - Low-T aqueous alteration, PM17 - Marine authigenic Hadean minerals, Stage 4a: Earth's earliest continental crust, PM19 - Granitic intrusive rocks, PM22 - Near-surface hydration, PM23 - Subaerial alteration, PM24 - Authigenic minerals in terrestrial sediments, PM26 - Hadean detrital minerals, Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites, PM35 - Ultra-alkali and agpaitic igneous rocks, Stage 5: Initiation of plate tectonics, PM40 - Regional metamorphism, PM43 - Shear-induced minerals, Stage 7: Great Oxidation Event, PM45 - Oxidized fumarolic minerals, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM51 - Pyrometamorphic minerals"
Albrechtschraufite,MgCa4F2[UO2(CO3)3]2·17-18H2O,triclinic,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering, Stage 10b: Anthropogenic minerals, PM55 - Anthropogenic mine minerals"
Alburnite,Ag8GeTe2S4,cubic,"Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits"
Alcantarillaite,[Fe3+0.5(H2O)4][CaAs3+2(Fe3+2.5W6+0.5)(AsO4)2O7],orthorhombic,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
Alcaparrosaite,K3Ti4+Fe3+(SO4)4O(H2O)2,monoclinic,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
Aldermanite,[Mg(H2O)6][Na(H2O)2Al3(PO4)2(OH)6]·H2O,"monoclinic, orthorhombic","Abiotic, Biotic, Secondary; Stage 4a: Earth's earliest continental crust, PM31 - Contact metamorphism, Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
Aldomarinoite,Sr2Mn3+(AsO4)2(OH),monoclinic,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
Aldridgeite,"(Cd,Ca)(Cu,Zn)4(SO4)2(OH)6·3H2O",monoclinic,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering, Stage 10b: Anthropogenic minerals, PM55 - Anthropogenic mine minerals, PM56 - Slag and smelter minerals"
Aleksandrovite,KCa7Sn2Li3Si12O36F2,monoclinic,"Abiotic, Secondary; Stage 4a: Earth's earliest continental crust, PM23 - Subaerial alteration"
Aleksite,PbBi2Te2S2,hexagonal,"Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits"
Aleutite,[Cu5O2](AsO4)(VO4)·(Cu0.5☐0.5)Cl,monoclinic,"Biotic; Stage 7: Great Oxidation Event, PM45 - Oxidized fumarolic minerals"
Alexearlite,Hg3(MoO4)S2,orthorhombic,
Alexkhomyakovite,K6(Ca2Na)(CO3)5Cl·6H2O,hexagonal,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks"
Alexkuznetsovite-(Ce),Ce2Mn(CO3)(Si2O7),monoclinic,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM36 - Carbonatites & kimberlites"
Alexkuznetsovite-(La),La2Mn(CO3)(Si2O7),monoclinic,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM36 - Carbonatites & kimberlites"
Alflarsenite,NaCa2Be3Si4O13(OH)·2H2O,monoclinic,"Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM19 - Granitic intrusive rocks"
Alforsite,Ba5(PO4)3Cl,hexagonal,"Abiotic, Biotic; Stage 4a: Earth's earliest continental crust, PM26 - Hadean detrital minerals, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM51 - Pyrometamorphic minerals"
Alfredcasparite,Sr2TiO(Si2O7),tetragonal,
Alfredopetrovite,Al2(Se4+O3)3·6H2O,hexagonal,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
Alfredstelznerite,Ca4(H2O)4[B4O4(OH)6]4(H2O)15,orthorhombic,"Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM25 - Evaporites (prebiotic)"
Algodonite,Cu1-xAsx (x ≈ 0.15),hexagonal,"Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits"
Alicewilsonite-(YCe),Na2Sr2YCe(CO3)6·3H2O,triclinic,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks"
Alicewilsonite-(YLa),Na2Sr2YLa(CO3)6·3H2O,triclinic,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks"
Aliettite,"Ca0.2Mg6(Si,Al)8O20(OH)4·4H2O",,"Abiotic, Biotic, Secondary; Stage 3b: Earth's earliest hydrosphere, PM13 - Hadean serpentinization, Stage 5: Initiation of plate tectonics, PM38 - Ophiolites, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM48 - Soil leaching zone minerals"
Allabogdanite,"(Fe,Ni)2P",orthorhombic,"Abiotic, Primary, Secondary; Stage 2: Planetesimal differentiation & alteration, PM6 - Secondary asteroid phases, Stage 3a: Earth's earliest Hadean crust, PM7 - Ultramafic igneous rocks"
Allactite,Mn2+7(AsO4)2(OH)8,monoclinic,"Abiotic; Stage 4a: Earth's earliest continental crust, PM32 - Ba-Mn-Pb-Zn metamorphics"
Allanite-(Ce),CaCe(Al2Fe2+)[Si2O7][SiO4]O(OH),monoclinic,"Abiotic, Primary, Secondary; Stage 3a: Earth's earliest Hadean crust, PM8 - Mafic igneous rocks, Stage 4a: Earth's earliest continental crust, PM19 - Granitic intrusive rocks, PM26 - Hadean detrital minerals, PM31 - Contact metamorphism, Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites, PM35 - Ultra-alkali and agpaitic igneous rocks, PM36 - Carbonatites & kimberlites, Stage 5: Initiation of plate tectonics, PM40 - Regional metamorphism"
Allanite-(La),CaLa(Al2Fe2+)[Si2O7][SiO4]O(OH),monoclinic,"Abiotic, Primary; Stage 3a: Earth's earliest Hadean crust, PM8 - Mafic igneous rocks, Stage 4a: Earth's earliest continental crust, PM19 - Granitic intrusive rocks, Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks"
Allanite-(Nd),CaNd(Al2Fe2+)[Si2O7][SiO4]O(OH),monoclinic,"Abiotic, Primary; Stage 3a: Earth's earliest Hadean crust, PM8 - Mafic igneous rocks"
Allanite-(Sm),CaSm(Al2Fe2+)(Si2O7)(SiO4)O(OH),monoclinic,
Allanite-(Y),CaY(Al2Fe2+)(Si2O7)(SiO4)O(OH),monoclinic,"Abiotic, Primary; Stage 3a: Earth's earliest Hadean crust, PM8 - Mafic igneous rocks, Stage 4a: Earth's earliest continental crust, PM19 - Granitic intrusive rocks, Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites, PM35 - Ultra-alkali and agpaitic igneous rocks"
Allanpringite,Fe3+3(PO4)2(OH)3·5H2O,monoclinic,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
Allantoin,C4H6N4O3,monoclinic,"Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM52 - Guano- and urine-derived minerals"
Allargentum,Ag1-xSbx (x ≈ 0.09-0.16),hexagonal,"Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits"
Alleghanyite,Mn2+5(SiO4)2(OH)2,monoclinic,"Abiotic, Secondary; Stage 4a: Earth's earliest continental crust, PM23 - Subaerial alteration, PM32 - Ba-Mn-Pb-Zn metamorphics"
Allendeite,Sc4Zr3O12,hexagonal,"Abiotic, Primary; Stage 1: Primary nebular phases, PM3 - Solar nebular condensates"
Allochalcoselite,Cu1+Cu2+5PbO2(SeO3)2Cl5,monoclinic,"Biotic; Stage 7: Great Oxidation Event, PM45 - Oxidized fumarolic minerals"
Alloclasite,CoAsS,monoclinic,"Abiotic, Primary, Secondary; Stage 4a: Earth's earliest continental crust, PM23 - Subaerial alteration, PM33 - Hydrothermal metal deposits"
