Mineral Name (plain),IMA Chemistry,Crystal Systems,Paragenetic Modes
Natroalunite,NaAl3(SO4)2(OH)6,hexagonal,"Abiotic, Biotic, Secondary; Stage 4a: Earth's earliest continental crust, PM24 - Authigenic minerals in terrestrial sediments, Stage 7: Great Oxidation Event, PM45 - Oxidized fumarolic minerals, PM46 - Near-surface hydrothermal alterations"
Natroaphthitalite,KNa3(SO4)2,hexagonal,"Biotic; Stage 7: Great Oxidation Event, PM45 - Oxidized fumarolic minerals"
Natroboltwoodite,Na(UO2)(SiO3OH)·H2O,orthorhombic,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
Natrochalcite,NaCu2(SO4)2(OH)·H2O,monoclinic,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM45 - Oxidized fumarolic minerals, PM47 - Low-T subaerial oxidative hydration/weathering"
Natrodufrenite,NaFe2+Fe3+5(PO4)4(OH)6·2H2O,monoclinic,"Abiotic, Biotic, Primary, Secondary; Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites, Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
Natroglaucocerinite,Zn6Al3(OH)18[Na(H2O)6](SO4)2·6H2O,hexagonal,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
Natrojarosite,NaFe3+3(SO4)2(OH)6,hexagonal,"Abiotic, Biotic, Secondary; Stage 7: Great Oxidation Event, PM45 - Oxidized fumarolic minerals, PM46 - Near-surface hydrothermal alterations, PM47 - Low-T subaerial oxidative hydration/weathering"
Natrolemoynite,Na4Zr2Si10O26·9H2O,monoclinic,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks"
Natrolite,Na2(Si3Al2)O10·2H2O,"monoclinic, orthorhombic","Abiotic, Biotic, Primary, Secondary; Stage 3a: Earth's earliest Hadean crust, PM9 - Lava/xenolith minerals, PM10 - Basalt-hosted zeolite minerals, Stage 3b: Earth's earliest hydrosphere, PM16 - Low-T aqueous alteration, PM17 - Marine authigenic Hadean minerals, Stage 4a: Earth's earliest continental crust, PM22 - Near-surface hydration, PM24 - Authigenic minerals in terrestrial sediments, Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM53 - Other minerals with taphonomic origins"
Natromarkeyite,Na2Ca8(UO2)4(CO3)13(H2O)24·3H2O,orthorhombic,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
Natromelansonite,Na3Zr[Si7AlO19]·4H2O,monoclinic,
Natromolybdite,Na2MoO4·2H2O,orthorhombic,
Natron,Na2(CO3)·10H2O,monoclinic,"Abiotic, Biotic, Primary, Secondary; Stage 4a: Earth's earliest continental crust, PM25 - Evaporites (prebiotic), Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks, Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
Natronambulite,NaMn2+4Si5O14(OH),triclinic,"Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM32 - Ba-Mn-Pb-Zn metamorphics, Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites"
Natroniobite,NaNbO3,monoclinic,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks"
Natropalermoite,Na2SrAl4(PO4)4(OH)4,orthorhombic,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites"
Natropharmacoalumite,NaAl4(AsO4)3(OH)4·4H2O,cubic,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
Natropharmacosiderite,NaFe3+4(AsO4)3(OH)4·4H2O,cubic,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
Natrophilite,NaMn2+(PO4),orthorhombic,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites"
Natrophosphate,Na7(PO4)2F·19H2O,cubic,"Abiotic, Primary; Stage 3a: Earth's earliest Hadean crust, PM9 - Lava/xenolith minerals, PM10 - Basalt-hosted zeolite minerals, Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks"
Natrosilite,Na2Si2O5,monoclinic,"Abiotic, Primary; Stage 3a: Earth's earliest Hadean crust, PM9 - Lava/xenolith minerals, Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks"
Natrosulfatourea,Na2(SO4)[CO(NH2)2],orthorhombic,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM52 - Guano- and urine-derived minerals"
Natrotantite,Na2Ta4O11,hexagonal,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites"
Natrotitanite,(Na0.5Y0.5)TiO(SiO4),monoclinic,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM36 - Carbonatites & kimberlites"
Natrouranospinite,Na2(UO2)2(AsO4)2·5H2O,tetragonal,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
Natrowalentaite,[Fe3+0.5Na0.5(H2O)6][NaAs3+2(Fe3+2.33W6+0.67)(PO4)2O7],orthorhombic,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
Natroxalate,Na2(C2O4),,"Abiotic, Biotic, Secondary; Stage 4a: Earth's earliest continental crust, PM22 - Near-surface hydration, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM52 - Guano- and urine-derived minerals"
Natrozippeite,Na5(UO2)8(SO4)4O5(OH)3·12H2O,monoclinic,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering, Stage 10b: Anthropogenic minerals, PM55 - Anthropogenic mine minerals"
Naujakasite,Na6Fe2+Al4Si8O26,monoclinic,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks"
Naumannite,Ag2Se,orthorhombic,"Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits"
Navajoite,"(V5+,Fe3+)10O24·12H2O",monoclinic,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
Navrotskyite,K2Na10(UO2)3(SO4)9·2H2O,orthorhombic,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
Nazarchukite,Ca2NiFe3+2(PO4)4,orthorhombic,"Biotic; Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM51 - Pyrometamorphic minerals"
Nazarovite,Ni12P5,tetragonal,"Abiotic, Biotic, Primary; Stage 1: Primary nebular phases, PM4 - Primary chondrule phases, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM51 - Pyrometamorphic minerals"
Nchwaningite,Mn2SiO3(OH)2·H2O,orthorhombic,"Abiotic; Stage 4a: Earth's earliest continental crust, PM32 - Ba-Mn-Pb-Zn metamorphics"
Nealite,Pb4Fe(AsO3)2Cl4·2H2O,triclinic,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering, Stage 10b: Anthropogenic minerals, PM56 - Slag and smelter minerals"
Nechelyustovite,(Na☐)☐2Ba4Ti4Nb4(Na11☐)Ti4(Si2O7)8O8(OH)8(H2O)12,triclinic,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks"
Nefedovite,Na5Ca4(PO4)4F,tetragonal,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks"
Negevite,NiP2,cubic,"Biotic; Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM51 - Pyrometamorphic minerals"
Neighborite,NaMgF3,"cubic, tetragonal, orthorhombic","Abiotic, Primary, Secondary; Stage 3a: Earth's earliest Hadean crust, PM9 - Lava/xenolith minerals, PM10 - Basalt-hosted zeolite minerals, Stage 4a: Earth's earliest continental crust, PM24 - Authigenic minerals in terrestrial sediments, Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks, PM36 - Carbonatites & kimberlites"
Nekoite,Ca3Si6O15·7H2O,triclinic,"Abiotic, Secondary; Stage 4a: Earth's earliest continental crust, PM31 - Contact metamorphism"
Nekrasovite,Cu13VSn3S16,cubic,"Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits"
Nelenite,Mn2+16As3+3Si12O36(OH)17,"monoclinic, hexagonal","Abiotic; Stage 4a: Earth's earliest continental crust, PM32 - Ba-Mn-Pb-Zn metamorphics"
Neltnerite,CaMn3+6O8(SiO4),tetragonal,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
Nenadkevichite,"(Na,☐)8Nb4(Si4O12)2(O,OH)4·8H2O","monoclinic, orthorhombic","Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks"
Neotocite,"(Mn,Fe)SiO3·H2O (?)",,"Abiotic, Secondary; Stage 4a: Earth's earliest continental crust, PM22 - Near-surface hydration, PM32 - Ba-Mn-Pb-Zn metamorphics"
Nepheline,Na3K(Al4Si4O16),hexagonal,"Abiotic, Biotic, Primary, Secondary; Stage 1: Primary nebular phases, PM4 - Primary chondrule phases, Stage 2: Planetesimal differentiation & alteration, PM6 - Secondary asteroid phases, Stage 3a: Earth's earliest Hadean crust, PM9 - Lava/xenolith minerals, Stage 4a: Earth's earliest continental crust, PM31 - Contact metamorphism, Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks, PM36 - Carbonatites & kimberlites, Stage 5: Initiation of plate tectonics, PM40 - Regional metamorphism, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM51 - Pyrometamorphic minerals"
Nepouite,Ni3Si2O5(OH)4,,"Abiotic, Biotic, Secondary; Stage 5: Initiation of plate tectonics, PM38 - Ophiolites, Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
Nepskoeite,Mg4Cl(OH)7·6H2O,orthorhombic,"Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM25 - Evaporites (prebiotic)"
Neptunite,KNa2LiFe2+2Ti2Si8O24,monoclinic,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks"
Neskevaaraite-Fe,"NaK3Fe(Ti,Nb)4(Si4O12)2(O,OH)4·6H2O",monoclinic,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks"
Nesquehonite,Mg(CO3)·3H2O,monoclinic,"Abiotic, Biotic, Primary, Secondary; Stage 3b: Earth's earliest hydrosphere, PM13 - Hadean serpentinization, Stage 4a: Earth's earliest continental crust, PM21 - Chemical precipitation, PM25 - Evaporites (prebiotic), Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM49 - Oxic cellular biomineralization, PM50 - Coal and/or oil shale minerals, PM53 - Other minerals with taphonomic origins, Stage 10b: Anthropogenic minerals, PM54 - Coal and other mine fire minerals, PM55 - Anthropogenic mine minerals"
Nestolaite,CaSeO3·H2O,monoclinic,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
Neustadtelite,"Bi2Fe3+(Fe3+,Co)2(O,OH)4(AsO4)2",triclinic,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
Nevadaite,"(Cu2+,☐,Al,V3+)6Al8(PO4)8F8(OH)2·22H2O",orthorhombic,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
Nevskite,"Bi(Se,S)",hexagonal,"Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits"
Newberyite,Mg(PO3OH)·3H2O,orthorhombic,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM49 - Oxic cellular biomineralization, PM50 - Coal and/or oil shale minerals, PM52 - Guano- and urine-derived minerals, Stage 10b: Anthropogenic minerals, PM54 - Coal and other mine fire minerals"
Neyite,Ag2Cu6Pb25Bi26S68,monoclinic,"Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits"
Nezilovite,Pb[Mn4+2Fe3+7AlZn2]O19,hexagonal,"Abiotic; Stage 4a: Earth's earliest continental crust, PM32 - Ba-Mn-Pb-Zn metamorphics"
Niahite,(NH4)Mn2+(PO4)·H2O,orthorhombic,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM52 - Guano- and urine-derived minerals"
Niasite,Ni2+4.5(AsO4)3,tetragonal,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
Nickel,Ni,"hexagonal, cubic","Abiotic, Primary, Secondary; Stage 3b: Earth's earliest hydrosphere, PM13 - Hadean serpentinization, Stage 4b: Highly evolved igneous rocks, PM36 - Carbonatites & kimberlites, Stage 5: Initiation of plate tectonics, PM38 - Ophiolites"
Nickelalumite,NiAl4(SO4)(OH)12(H2O)3,monoclinic,
Nickelaustinite,CaNi(AsO4)(OH),orthorhombic,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
Nickelbischofite,NiCl2·6H2O,monoclinic,"Abiotic, Biotic, Secondary; Stage 3b: Earth's earliest hydrosphere, PM13 - Hadean serpentinization, Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM50 - Coal and/or oil shale minerals, Stage 10b: Anthropogenic minerals, PM54 - Coal and other mine fire minerals, PM57 - Other minerals formed by human processes"
Nickelblodite,Na2Ni(SO4)2·4H2O,monoclinic,"Abiotic, Biotic, Primary, Secondary; Stage 4a: Earth's earliest continental crust, PM25 - Evaporites (prebiotic), Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
Nickelboussingaultite,(NH4)2Ni(SO4)2·6H2O,monoclinic,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering, Stage 10b: Anthropogenic minerals, PM55 - Anthropogenic mine minerals"
Nickelhexahydrite,Ni(SO4)·6H2O,monoclinic,"Abiotic, Biotic, Secondary; Stage 5: Initiation of plate tectonics, PM43 - Shear-induced minerals, Stage 7: Great Oxidation Event, PM45 - Oxidized fumarolic minerals, PM47 - Low-T subaerial oxidative hydration/weathering, Stage 10b: Anthropogenic minerals, PM55 - Anthropogenic mine minerals"
Nickeline,NiAs,"orthorhombic, hexagonal","Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits, Stage 4b: Highly evolved igneous rocks, PM37 - Layered igneous formations"
Nickellotharmeyerite,CaNi2(AsO4)2·2H2O,monoclinic,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
Nickelphosphide,Ni3P,tetragonal,"Abiotic, Primary, Secondary; Stage 1: Primary nebular phases, PM4 - Primary chondrule phases, Stage 2: Planetesimal differentiation & alteration, PM5 - Primary asteroid phases, PM6 - Secondary asteroid phases, Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits"
Nickelpicromerite,K2Ni(SO4)2·6H2O,monoclinic,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
Nickelschneebergite,BiNi2(AsO4)2(OH)·H2O,monoclinic,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
Nickelskutterudite,NiAs3,cubic,"Abiotic, Primary, Secondary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits, Stage 4b: Highly evolved igneous rocks, PM36 - Carbonatites & kimberlites, Stage 5: Initiation of plate tectonics, PM38 - Ophiolites"
Nickeltalmessite,Ca2Ni(AsO4)2·2H2O,triclinic,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
Nickeltsumcorite,"Pb(Ni,Fe3+)2(AsO4)2(H2O,OH)2",monoclinic,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
Nickeltyrrellite,CuNi2Se4,cubic,"Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits"
Nickelzippeite,Ni2(UO2)6(SO4)3(OH)10·16H2O,,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering, Stage 10b: Anthropogenic minerals, PM55 - Anthropogenic mine minerals"
Nickenichite,Na(Ca0.5Cu0.5)MgMg2(AsO4)3,monoclinic,"Biotic; Stage 7: Great Oxidation Event, PM45 - Oxidized fumarolic minerals"
Nickolayite,FeMoP,orthorhombic,"Biotic; Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM51 - Pyrometamorphic minerals"
Nicksobolevite,Cu7(SeO3)2O2Cl6,monoclinic,"Biotic; Stage 7: Great Oxidation Event, PM45 - Oxidized fumarolic minerals"
Niedermayrite,Cu4Cd(SO4)2(OH)6·4H2O,monoclinic,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
Nielsbohrite,"(K,U,☐)(UO2)3(AsO4)(OH)4·H2O",orthorhombic,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering, Stage 10b: Anthropogenic minerals, PM55 - Anthropogenic mine minerals"
Nielsenite,PdCu3,tetragonal,"Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM26 - Hadean detrital minerals, Stage 4b: Highly evolved igneous rocks, PM37 - Layered igneous formations"
Nierite,Si3N4,hexagonal,"Abiotic, Primary; Stage 0: Pre-terrestrial Ur-minerals, PM1 - Stellar atmosphere condensates"
Nifontovite,Ca3[BO(OH)2]6·2H2O,monoclinic,"Abiotic, Secondary; Stage 4a: Earth's earliest continental crust, PM23 - Subaerial alteration"
Nigelcookite,PbFe2+2V3+2(PO4)3(OH)3,monoclinic,
Niggliite,PtSn,hexagonal,"Abiotic, Primary, Secondary; Stage 2: Planetesimal differentiation & alteration, PM6 - Secondary asteroid phases, Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits, Stage 4b: Highly evolved igneous rocks, PM37 - Layered igneous formations"
Niigataite,CaSrAl3[Si2O7][SiO4]O(OH),monoclinic,"Abiotic, Secondary; Stage 5: Initiation of plate tectonics, PM40 - Regional metamorphism"
Nikischerite,Fe2+6Al3(OH)18[Na(H2O)6](SO4)2·6H2O,hexagonal,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
Nikmelnikovite,Ca12Fe2+Fe3+3Al3(SiO4)6(OH)20,hexagonal,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
Niksergievite,"Ba2Al3(Si,Al)4O10(CO3)(OH)6·nH2O",monoclinic,"Abiotic, Primary, Secondary; Stage 4a: Earth's earliest continental crust, PM23 - Subaerial alteration, PM32 - Ba-Mn-Pb-Zn metamorphics, PM33 - Hydrothermal metal deposits"
Nimite,"(Ni,Mg,Al)6(Si,Al)4O10(OH)8",monoclinic,"Abiotic, Biotic, Secondary; Stage 5: Initiation of plate tectonics, PM38 - Ophiolites, Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
Ningyoite,"(U,Ca,Ce)2(PO4)2·1-2H2O",orthorhombic,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM50 - Coal and/or oil shale minerals, Stage 10b: Anthropogenic minerals, PM54 - Coal and other mine fire minerals"
Niningerite,MgS,cubic,"Abiotic, Primary; Stage 1: Primary nebular phases, PM4 - Primary chondrule phases, Stage 2: Planetesimal differentiation & alteration, PM5 - Primary asteroid phases"
Niobobaotite,Ba4(Ti2.5Fe2+1.5)Nb4Si4O28Cl,tetragonal,
Niobocarbide,NbC,cubic,"Abiotic; Stage 4a: Earth's earliest continental crust, PM26 - Hadean detrital minerals"
Nioboheftetjernite,ScNbO4,monoclinic,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites"
Nioboholtite,(Nb0.6☐0.4)Al6BSi3O18,orthorhombic,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites"
Nioboixiolite-([]),(Nb0.8☐0.2)4+O2,orthorhombic,
Nioboixiolite-(Fe3+),(Nb0.5Fe3+0.5)O2,orthorhombic,
Nioboixiolite-(Mn2+),(Nb0.67Mn2+0.33)O2,orthorhombic,
Niobokupletskite,"K2NaMn7(Nb,Ti)2(Si4O12)2O2(OH)4(O,F)",triclinic,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks"
Niobophyllite,"K2NaFe2+7(Nb,Ti)2(Si4O12)2O2(OH)4(O,F)",triclinic,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks"
Niocalite,Ca7Nb(Si2O7)2O3F,monoclinic,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks, PM36 - Carbonatites & kimberlites"
Nipalarsite,Ni8Pd3As4,cubic,"Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits"
Nipeiite-(Ce),Ce9Fe3+(SiO4)6[SiO3(OH)](OH)3,hexagonal,
Nisbite,NiSb2,orthorhombic,"Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits"
Nishanbaevite,KAl2O(AsO4)(SO4),orthorhombic,"Biotic; Stage 7: Great Oxidation Event, PM45 - Oxidized fumarolic minerals"
Nisnite,Ni3Sn,cubic,"Abiotic, Secondary; Stage 4a: Earth's earliest continental crust, PM26 - Hadean detrital minerals, Stage 5: Initiation of plate tectonics, PM38 - Ophiolites"
Nissonite,Cu2Mg2(PO4)2(OH)2·5H2O,monoclinic,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
Niter,K(NO3),"hexagonal, orthorhombic","Biotic, Secondary; Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM48 - Soil leaching zone minerals, PM52 - Guano- and urine-derived minerals, PM53 - Other minerals with taphonomic origins"
Nitratine,Na(NO3),hexagonal,"Abiotic, Biotic, Primary, Secondary; Stage 3b: Earth's earliest hydrosphere, PM14 - Hot springs & geysers, Stage 4a: Earth's earliest continental crust, PM21 - Chemical precipitation, PM25 - Evaporites (prebiotic), Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM53 - Other minerals with taphonomic origins"
Nitrobarite,Ba(NO3)2,cubic,"Abiotic, Biotic, Primary; Stage 4a: Earth's earliest continental crust, PM25 - Evaporites (prebiotic), Stage 10b: Anthropogenic minerals, PM56 - Slag and smelter minerals, PM57 - Other minerals formed by human processes"
Nitrocalcite,Ca(NO3)2·4H2O,monoclinic,"Biotic, Secondary; Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM48 - Soil leaching zone minerals, PM52 - Guano- and urine-derived minerals"
Nitromagnesite,Mg(NO3)2·6H2O,monoclinic,"Biotic, Secondary; Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM52 - Guano- and urine-derived minerals"
Nitroplumbite,[Pb4(OH)4](NO3)4,monoclinic,"Biotic, Secondary; Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM53 - Other minerals with taphonomic origins"
Nitscheite,(NH4)2[(UO2)2(SO4)3(H2O)2]·3H2O,monoclinic,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM53 - Other minerals with taphonomic origins"
Niveolanite,NaBe(CO3)(OH)·2H2O,tetragonal,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks"
Nixonite,Na2Ti6O13,monoclinic,"Abiotic, Primary, Secondary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks, Stage 5: Initiation of plate tectonics, PM41 - Mantle metasomatism"
Nizamoffite,Mn2+Zn2(PO4)2(H2O)4,orthorhombic,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites"
Nobleite,CaB6O9(OH)2·3H2O,monoclinic,"Abiotic, Biotic, Primary, Secondary; Stage 4a: Earth's earliest continental crust, PM25 - Evaporites (prebiotic), Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
Noelbensonite,BaMn3+2Si2O7(OH)2·H2O,orthorhombic,"Abiotic; Stage 4a: Earth's earliest continental crust, PM32 - Ba-Mn-Pb-Zn metamorphics"
Noggerathite-(Ce),"(Ce,Ca)2Zr2(Nb,Ti)(Ti,Nb)2Fe2+O14",orthorhombic,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM36 - Carbonatites & kimberlites"
Nolanite,V3+4Fe3+O7(OH),hexagonal,"Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits"
Nollmotzite,Mg[U5+(U6+O2)2O4F3]·4H2O,monoclinic,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
Nolzeite,"Na(Mn,☐)2[Si3(B,Si)O9(OH)2]·2H2O",triclinic,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
Nontronite,"Na0.3Fe3+2(Si,Al)4O10(OH)2·nH2O","triclinic, monoclinic","Abiotic, Secondary; Stage 2: Planetesimal differentiation & alteration, PM6 - Secondary asteroid phases, Stage 3b: Earth's earliest hydrosphere, PM16 - Low-T aqueous alteration, PM17 - Marine authigenic Hadean minerals"
Noonkanbahite,NaKBaTi2(Si4O12)O2,orthorhombic,"Abiotic, Primary; Stage 3a: Earth's earliest Hadean crust, PM7 - Ultramafic igneous rocks"
