name,formula,elements,density,color,crystal
Akermanite,Ca2MgSi2O7,"{""Ca"": 2.0, ""Mg"": 1.0, ""Si"": 2.0, ""O"": 7.0}",272.624,#FFFFFF,tetragonal
Akimotoite,MgSiO3,"{""Mg"": 1.0, ""Si"": 1.0, ""O"": 3.0}",100.387,#FFFFFF,hexagonal
Aklimaite,Ca4[Si2O5(OH)2](OH)4·5H2O,"{""Ca"": 4.0, ""Si"": 2.0, ""O"": 16.0, ""H"": 16.0}",488.594,#FFFFFF,monoclinic
Akopovaite,Al4Li2(OH)12(CO3)(H2O)3,"{""Al"": 4.0, ""Li"": 2.0, ""O"": 18.0, ""H"": 18.0, ""C"": 1.0}",439.945,#FFFFFF,monoclinic
Aksaite,MgB6O7(OH)6·2H2O,"{""Mg"": 1.0, ""B"": 6.0, ""O"": 15.0, ""H"": 10.0}",339.23,#FFFFFF,orthorhombic
Aktashite,Cu6Hg3As4S12,"{""Cu"": 6.0, ""Hg"": 3.0, ""As"": 4.0, ""S"": 12.0}",1667.454,#FFD700,hexagonal
Alacranite,As8S9,"{""As"": 8.0, ""S"": 9.0}",887.916,#FFD700,monoclinic
Alamosite,PbSiO3,"{""Pb"": 1.0, ""Si"": 1.0, ""O"": 3.0}",283.282,#FFFFFF,monoclinic
Alarsite,Al(AsO4),"{""Al"": 1.0, ""As"": 1.0, ""O"": 4.0}",165.9,#808080,hexagonal
Albertiniite,Fe2+(SO3)·3H2O,"{""Fe"": 1.0, ""S"": 1.0, ""O"": 6.0, ""H"": 6.0}",189.947,#556B2F,monoclinic
Albite,Na(AlSi3O8),"{""Na"": 1.0, ""Al"": 1.0, ""Si"": 3.0, ""O"": 8.0}",262.219,#FFFFFF,monoclinic
Albrechtschraufite,MgCa4F2[UO2(CO3)3]2·17-18H2O,"{""Mg"": 1.0, ""Ca"": 4.0, ""F"": 2.0, ""U"": 2.0, ""O"": 40.0, ""C"": 6.0, ""H"": 36.0}",1446.987,#FFFFFF,triclinic
Alburnite,Ag8GeTe2S4,"{""Ag"": 8.0, ""Ge"": 1.0, ""Te"": 2.0, ""S"": 4.0}",1319.03,#A9A9A9,cubic
Alcaparrosaite,K3Ti4+Fe3+(SO4)4O(H2O)2,"{""K"": 3.0, ""Ti"": 1.0, ""Fe"": 1.0, ""S"": 4.0, ""O"": 19.0, ""H"": 4.0}",657.259,#556B2F,monoclinic
Aldermanite,[Mg(H2O)6][Na(H2O)2Al3(PO4)2(OH)6]·H2O,"{""Mg"": 1.0, ""H"": 24.0, ""O"": 23.0, ""Na"": 1.0, ""Al"": 3.0, ""P"": 2.0}",582.358,#FFFFFF,monoclinic
Aleksite,PbBi2Te2S2,"{""Pb"": 1.0, ""Bi"": 2.0, ""Te"": 2.0, ""S"": 2.0}",944.48,#708090,hexagonal
Alexearlite,Hg3(MoO4)S2,"{""Hg"": 3.0, ""Mo"": 1.0, ""O"": 4.0, ""S"": 2.0}",825.836,#FFFFFF,orthorhombic
Alexkhomyakovite,K6(Ca2Na)(CO3)5Cl·6H2O,"{""K"": 6.0, ""Ca"": 2.0, ""Na"": 1.0, ""C"": 5.0, ""O"": 21.0, ""Cl"": 1.0, ""H"": 12.0}",781.314,#FFFFFF,hexagonal
Alflarsenite,NaCa2Be3Si4O13(OH)·2H2O,"{""Na"": 1.0, ""Ca"": 2.0, ""Be"": 3.0, ""Si"": 4.0, ""O"": 16.0, ""H"": 5.0}",503.5466,#FFFFFF,monoclinic
Alforsite,Ba5(PO4)3Cl,"{""Ba"": 5.0, ""P"": 3.0, ""O"": 12.0, ""Cl"": 1.0}",1007.01,#FFFFFF,hexagonal
Alfredcasparite,Sr2TiO(Si2O7),"{""Sr"": 2.0, ""Ti"": 1.0, ""O"": 8.0, ""Si"": 2.0}",407.269,#FFFFFF,tetragonal
Alfredopetrovite,Al2(Se4+O3)3·6H2O,"{""Al"": 2.0, ""Se"": 3.0, ""O"": 15.0, ""H"": 12.0}",542.958,#FFFFFF,hexagonal
Alfredstelznerite,Ca4(H2O)4[B4O4(OH)6]4(H2O)15,"{""Ca"": 4.0, ""H"": 62.0, ""O"": 59.0, ""B"": 16.0}",1339.709,#FFFFFF,orthorhombic
Alicewilsonite-(YCe),Na2Sr2YCe(CO3)6·3H2O,"{""Na"": 2.0, ""Sr"": 2.0, ""Y"": 1.0, ""Ce"": 1.0, ""C"": 6.0, ""O"": 21.0, ""H"": 6.0}",864.339,#FFFFFF,triclinic
Alicewilsonite-(YLa),Na2Sr2YLa(CO3)6·3H2O,"{""Na"": 2.0, ""Sr"": 2.0, ""Y"": 1.0, ""La"": 1.0, ""C"": 6.0, ""O"": 21.0, ""H"": 6.0}",863.129,#FFFFFF,triclinic
