name,formula,elements,density,color,crystal_system,dna
Strelkinite,Na2(UO2)2(VO4)2·6H2O,"{""Na"": 2.0, ""U"": 2.0, ""O"": 18.0, ""V"": 2.0, ""H"": 12.0}",924.02,#FFFFFF,orthorhombic,"{""system"": ""orthorhombic"", ""scale"": [0.8, 1.0, 1.2], ""optical"": {""transparent"": 1, ""refraction"": 1.5, ""birefringence"": 0.01}}"
Strengite,Fe3+(PO4)·2H2O,"{""Fe"": 1.0, ""P"": 1.0, ""O"": 6.0, ""H"": 4.0}",186.85,#556B2F,orthorhombic,"{""system"": ""orthorhombic"", ""scale"": [0.8, 1.0, 1.2], ""optical"": {""transparent"": 0, ""refraction"": 0.0, ""birefringence"": 0.0}}"
Stringhamite,CaCu(SiO4)·H2O,"{""Ca"": 1.0, ""Cu"": 1.0, ""Si"": 1.0, ""O"": 5.0, ""H"": 2.0}",213.74,#FFFFFF,monoclinic,"{""system"": ""monoclinic"", ""scale"": [0.7, 1.0, 1.3], ""optical"": {""transparent"": 1, ""refraction"": 1.5, ""birefringence"": 0.01}}"
Stromeyerite,CuAgS,"{""Cu"": 1.0, ""Ag"": 1.0, ""S"": 1.0}",203.48,#A9A9A9,orthorhombic,"{""system"": ""orthorhombic"", ""scale"": [0.8, 1.0, 1.2], ""optical"": {""transparent"": 0, ""refraction"": 0.0, ""birefringence"": 0.0}}"
Stronadelphite,Sr5(PO4)3F,"{""Sr"": 5.0, ""P"": 3.0, ""O"": 12.0, ""F"": 1.0}",742.01,#FFFFFF,hexagonal,"{""system"": ""hexagonal"", ""scale"": [1.0, 1.0, 1.6], ""optical"": {""transparent"": 1, ""refraction"": 1.5, ""birefringence"": 0.01}}"
Stronalsite,Na2SrAl4Si4O16,"{""Na"": 2.0, ""Sr"": 1.0, ""Al"": 4.0, ""Si"": 4.0, ""O"": 16.0}",609.88,#FFFFFF,orthorhombic,"{""system"": ""orthorhombic"", ""scale"": [0.8, 1.0, 1.2], ""optical"": {""transparent"": 1, ""refraction"": 1.5, ""birefringence"": 0.01}}"
Strontianite,Sr(CO3),"{""Sr"": 1.0, ""C"": 1.0, ""O"": 3.0}",147.63,#FFFFFF,orthorhombic,"{""system"": ""orthorhombic"", ""scale"": [0.8, 1.0, 1.2], ""optical"": {""transparent"": 1, ""refraction"": 1.5, ""birefringence"": 0.01}}"
Strontioborite,Sr[B8O11(OH)4],"{""Sr"": 1.0, ""B"": 8.0, ""O"": 15.0, ""H"": 4.0}",418.13,#FFFFFF,monoclinic,"{""system"": ""monoclinic"", ""scale"": [0.7, 1.0, 1.3], ""optical"": {""transparent"": 1, ""refraction"": 1.5, ""birefringence"": 0.01}}"
Strontiodresserite,SrAl2(CO3)2(OH)4·H2O,"{""Sr"": 1.0, ""Al"": 2.0, ""C"": 2.0, ""O"": 11.0, ""H"": 6.0}",347.65,#FFFFFF,orthorhombic,"{""system"": ""orthorhombic"", ""scale"": [0.8, 1.0, 1.2], ""optical"": {""transparent"": 1, ""refraction"": 1.5, ""birefringence"": 0.01}}"
Strontiofluorite,SrF2,"{""Sr"": 1.0, ""F"": 2.0}",125.62,#FFFFFF,cubic,"{""system"": ""cubic"", ""scale"": [1.0, 1.0, 1.0], ""optical"": {""transparent"": 1, ""refraction"": 1.5, ""birefringence"": 0.0}}"
Strontioginorite,CaSrB14O20(OH)6·5H2O,"{""Ca"": 1.0, ""Sr"": 1.0, ""B"": 14.0, ""O"": 31.0, ""H"": 16.0}",791.17,#FFFFFF,monoclinic,"{""system"": ""monoclinic"", ""scale"": [0.7, 1.0, 1.3], ""optical"": {""transparent"": 1, ""refraction"": 1.5, ""birefringence"": 0.01}}"
Strontiohurlbutite,SrBe2(PO4)2,"{""Sr"": 1.0, ""Be"": 2.0, ""P"": 2.0, ""O"": 8.0}",295.58,#FFFFFF,monoclinic,"{""system"": ""monoclinic"", ""scale"": [0.7, 1.0, 1.3], ""optical"": {""transparent"": 1, ""refraction"": 1.5, ""birefringence"": 0.01}}"
Strontio-orthojoaquinite,NaSr4Fe3+Ti2Si8O24(OH)4,"{""Na"": 1.0, ""Sr"": 4.0, ""Fe"": 1.0, ""Ti"": 2.0, ""Si"": 8.0, ""O"": 28.0, ""H"": 4.0}",1201.81,#556B2F,orthorhombic,"{""system"": ""orthorhombic"", ""scale"": [0.8, 1.0, 1.2], ""optical"": {""transparent"": 0, ""refraction"": 0.0, ""birefringence"": 0.0}}"
Struvite,(NH4)Mg(PO4)·6H2O,"{""N"": 1.0, ""H"": 16.0, ""Mg"": 1.0, ""P"": 1.0, ""O"": 10.0}",245.42,#FFFFFF,orthorhombic,"{""system"": ""orthorhombic"", ""scale"": [0.8, 1.0, 1.2], ""optical"": {""transparent"": 1, ""refraction"": 1.5, ""birefringence"": 0.01}}"
Struvite-(K),KMg(PO4)·6H2O,"{""K"": 1.0, ""Mg"": 1.0, ""P"": 1.0, ""O"": 10.0, ""H"": 12.0}",266.48,#FFFFFF,orthorhombic,"{""system"": ""orthorhombic"", ""scale"": [0.8, 1.0, 1.2], ""optical"": {""transparent"": 1, ""refraction"": 1.5, ""birefringence"": 0.01}}"
Studenitsite,NaCa2B9O14(OH)4·2H2O,"{""Na"": 1.0, ""Ca"": 2.0, ""B"": 9.0, ""O"": 20.0, ""H"": 8.0}",528.5,#FFFFFF,monoclinic,"{""system"": ""monoclinic"", ""scale"": [0.7, 1.0, 1.3], ""optical"": {""transparent"": 1, ""refraction"": 1.5, ""birefringence"": 0.01}}"
Studtite,(UO2)(O2)(H2O)2·2H2O,"{""U"": 1.0, ""O"": 8.0, ""H"": 8.0}",374.09,#ADFF2F,monoclinic,"{""system"": ""monoclinic"", ""scale"": [0.7, 1.0, 1.3], ""optical"": {""transparent"": 0, ""refraction"": 0.0, ""birefringence"": 0.0}}"
Stumpflite,PtSb,"{""Pt"": 1.0, ""Sb"": 1.0}",316.84,#A9A9A9,hexagonal,"{""system"": ""hexagonal"", ""scale"": [1.0, 1.0, 1.6], ""optical"": {""transparent"": 0, ""refraction"": 0.0, ""birefringence"": 0.0}}"
